,Method,Parameter,Signal_id,Repetition,-5,0,5,10,15,20
5000,dt,{'LB': 1.0},6_female,0,1.1734778881072998,1.2878423929214478,1.5087392330169678,1.8658289909362793,2.2204790115356445,2.67292857170105
5001,dt,{'LB': 1.0},6_female,1,1.1791675090789795,1.2825088500976562,1.482635259628296,1.7683684825897217,2.1107306480407715,2.521066188812256
5002,dt,{'LB': 1.0},6_female,2,1.1886073350906372,1.2870908975601196,1.481185793876648,1.7565768957138062,2.1156961917877197,2.4905762672424316
5003,dt,{'LB': 1.0},6_female,3,1.0633853673934937,1.2425808906555176,1.3896164894104004,1.6543116569519043,1.9954168796539307,2.3947150707244873
5004,dt,{'LB': 1.0},6_female,4,1.2061799764633179,1.3141248226165771,1.51944899559021,1.834040880203247,2.188494920730591,2.6087045669555664
5005,dt,{'LB': 1.0},6_female,5,1.1660428047180176,1.2532802820205688,1.422717809677124,1.6730966567993164,2.01613187789917,2.4325833320617676
5006,dt,{'LB': 1.0},6_female,6,1.1375775337219238,1.2624098062515259,1.4087004661560059,1.660393238067627,1.9371581077575684,2.3256728649139404
5007,dt,{'LB': 1.0},6_female,7,1.1767178773880005,1.2731473445892334,1.453661322593689,1.7188870906829834,2.0656344890594482,2.4925262928009033
5008,dt,{'LB': 1.0},6_female,8,1.1338797807693481,1.2121422290802002,1.3774809837341309,1.6704456806182861,2.0271339416503906,2.4011871814727783
5009,dt,{'LB': 1.0},6_female,9,1.1355390548706055,1.2407087087631226,1.4391472339630127,1.7333413362503052,2.073988914489746,2.5005273818969727
5010,dt,{'LB': 1.0},6_female,10,1.157515287399292,1.2649199962615967,1.4701138734817505,1.7885652780532837,2.1638529300689697,2.589984178543091
5011,dt,{'LB': 1.0},6_female,11,1.1903772354125977,1.2887641191482544,1.4839696884155273,1.776416301727295,2.0735442638397217,2.494488477706909
5012,dt,{'LB': 1.0},6_female,12,1.144213080406189,1.227250337600708,1.394837498664856,1.646874189376831,1.9715720415115356,2.3812904357910156
5013,dt,{'LB': 1.0},6_female,13,1.160962700843811,1.2349939346313477,1.3968758583068848,1.6591695547103882,2.0066962242126465,2.3825783729553223
5014,dt,{'LB': 1.0},6_female,14,1.1085489988327026,1.2974998950958252,1.4696497917175293,1.7247021198272705,2.0595571994781494,2.398773670196533
5015,dt,{'LB': 1.0},6_female,15,1.1710917949676514,1.252532958984375,1.4347301721572876,1.724563717842102,2.0724329948425293,2.4499216079711914
5016,dt,{'LB': 1.0},6_female,16,1.187956690788269,1.2814035415649414,1.463119387626648,1.7215993404388428,2.065457820892334,2.45646071434021
5017,dt,{'LB': 1.0},6_female,17,1.199116587638855,1.2969458103179932,1.4838411808013916,1.7513782978057861,2.0696346759796143,2.466628074645996
5018,dt,{'LB': 1.0},6_female,18,1.1800310611724854,1.2705421447753906,1.4311840534210205,1.6922274827957153,2.037341356277466,2.432600975036621
5019,dt,{'LB': 1.0},6_female,19,1.1953290700912476,1.2967290878295898,1.486600637435913,1.7868061065673828,2.1378304958343506,2.5747427940368652
5020,dt,{'LB': 1.0},6_female,20,1.149765133857727,1.227515459060669,1.3874433040618896,1.6456940174102783,1.9758613109588623,2.4004640579223633
5021,dt,{'LB': 1.0},6_female,21,1.1900877952575684,1.297305941581726,1.5092170238494873,1.7914159297943115,2.1550304889678955,2.560680389404297
5022,dt,{'LB': 1.0},6_female,22,1.1897649765014648,1.2970466613769531,1.5021047592163086,1.7730499505996704,2.133533000946045,2.5365958213806152
5023,dt,{'LB': 1.0},6_female,23,1.1703596115112305,1.2488651275634766,1.423257827758789,1.7045400142669678,2.0518572330474854,2.3707058429718018
5024,dt,{'LB': 1.0},6_female,24,1.2078566551208496,1.318917989730835,1.5209068059921265,1.8034157752990723,2.1618075370788574,2.561091899871826
5025,dt,{'LB': 1.0},6_female,25,1.1566638946533203,1.2342746257781982,1.4001673460006714,1.6657323837280273,2.0028250217437744,2.4039204120635986
5026,dt,{'LB': 1.0},6_female,26,1.160969614982605,1.2487196922302246,1.4200960397720337,1.6879703998565674,1.9857957363128662,2.4346983432769775
5027,dt,{'LB': 1.0},6_female,27,1.085247278213501,1.2970269918441772,1.4627519845962524,1.7131471633911133,2.074040651321411,2.434117317199707
5028,dt,{'LB': 1.0},6_female,28,1.1350128650665283,1.2126874923706055,1.37410569190979,1.6482337713241577,2.0118820667266846,2.3622727394104004
