,Method,Parameter,Signal_id,Repetition,-5,0,5,10,15,20
4800,dt,{'LB': 1.0},6_male,0,1.224669098854065,1.362475872039795,1.5613234043121338,1.8471547365188599,2.174036741256714,2.5759127140045166
4801,dt,{'LB': 1.0},6_male,1,1.2542989253997803,1.352023959159851,1.4679642915725708,1.6747581958770752,2.023895025253296,2.4106976985931396
4802,dt,{'LB': 1.0},6_male,2,1.2431681156158447,1.3595404624938965,1.543409824371338,1.8233208656311035,2.1859302520751953,2.6024656295776367
4803,dt,{'LB': 1.0},6_male,3,1.2146632671356201,1.3073649406433105,1.4476968050003052,1.670732021331787,1.9799630641937256,2.3852784633636475
4804,dt,{'LB': 1.0},6_male,4,1.243650197982788,1.3759140968322754,1.5161936283111572,1.7415821552276611,2.096925973892212,2.4910695552825928
4805,dt,{'LB': 1.0},6_male,5,1.2380363941192627,1.3382766246795654,1.488864541053772,1.7334505319595337,2.0741961002349854,2.4323582649230957
4806,dt,{'LB': 1.0},6_male,6,1.090262770652771,1.3306121826171875,1.452885389328003,1.6552674770355225,1.949764370918274,2.3380286693573
4807,dt,{'LB': 1.0},6_male,7,1.260243535041809,1.364553451538086,1.5014796257019043,1.7382944822311401,2.0913710594177246,2.5036349296569824
4808,dt,{'LB': 1.0},6_male,8,1.1828546524047852,1.2610613107681274,1.4087966680526733,1.6405229568481445,1.9552876949310303,2.367548704147339
4809,dt,{'LB': 1.0},6_male,9,1.207337737083435,1.3105098009109497,1.4684864282608032,1.721299409866333,2.068568229675293,2.5081090927124023
4810,dt,{'LB': 1.0},6_male,10,1.1977025270462036,1.3043937683105469,1.4647916555404663,1.7169243097305298,2.051454544067383,2.482100486755371
4811,dt,{'LB': 1.0},6_male,11,1.2327415943145752,1.334535837173462,1.5404822826385498,1.8152048587799072,2.1825294494628906,2.549426317214966
4812,dt,{'LB': 1.0},6_male,12,1.2261463403701782,1.316012978553772,1.4832642078399658,1.73390531539917,2.0744271278381348,2.445615530014038
4813,dt,{'LB': 1.0},6_male,13,1.2341015338897705,1.3141059875488281,1.431663155555725,1.6400353908538818,1.9351301193237305,2.355214834213257
4814,dt,{'LB': 1.0},6_male,14,1.1059205532073975,1.3720641136169434,1.5249624252319336,1.7438315153121948,2.0415725708007812,2.430554151535034
4815,dt,{'LB': 1.0},6_male,15,1.1030323505401611,1.389011025428772,1.5762465000152588,1.8323726654052734,2.1500651836395264,2.501753807067871
4816,dt,{'LB': 1.0},6_male,16,1.1639751195907593,1.3513973951339722,1.514763593673706,1.749579906463623,2.057425022125244,2.4385275840759277
4817,dt,{'LB': 1.0},6_male,17,1.2760807275772095,1.3657207489013672,1.513222575187683,1.74285888671875,2.0760035514831543,2.4301693439483643
4818,dt,{'LB': 1.0},6_male,18,1.2630727291107178,1.3549401760101318,1.4855483770370483,1.7144427299499512,2.048774480819702,2.3775315284729004
4819,dt,{'LB': 1.0},6_male,19,1.300915241241455,1.3727275133132935,1.4733340740203857,1.7034251689910889,2.027489185333252,2.384995937347412
4820,dt,{'LB': 1.0},6_male,20,1.1973485946655273,1.2823879718780518,1.431249737739563,1.684065818786621,2.015855550765991,2.433013677597046
4821,dt,{'LB': 1.0},6_male,21,1.260387897491455,1.3719847202301025,1.5503013134002686,1.8260383605957031,2.1949031352996826,2.595759153366089
4822,dt,{'LB': 1.0},6_male,22,1.2219396829605103,1.379807949066162,1.5555622577667236,1.8090565204620361,2.1272568702697754,2.516730308532715
4823,dt,{'LB': 1.0},6_male,23,1.241115689277649,1.3228223323822021,1.4959936141967773,1.7665777206420898,2.104329824447632,2.496582269668579
4824,dt,{'LB': 1.0},6_male,24,1.257017970085144,1.3793065547943115,1.575453281402588,1.8376580476760864,2.165952444076538,2.566103458404541
4825,dt,{'LB': 1.0},6_male,25,1.090601921081543,1.302966833114624,1.4510878324508667,1.6761794090270996,1.9769957065582275,2.385326862335205
