,Method,Parameter,Signal_id,Repetition,-5,0,5,10,15,20
5200,dt,{'LB': 1.0},cello,0,1.3639718294143677,1.465486764907837,1.674187421798706,1.9523189067840576,2.312225341796875,2.797172784805298
5201,dt,{'LB': 1.0},cello,1,1.3815608024597168,1.4776736497879028,1.675907850265503,1.9546306133270264,2.3185181617736816,2.8312652111053467
5202,dt,{'LB': 1.0},cello,2,1.357400894165039,1.4593846797943115,1.6581921577453613,1.9417603015899658,2.3662712574005127,2.9560046195983887
5203,dt,{'LB': 1.0},cello,3,1.354678750038147,1.4139149188995361,1.57175874710083,1.8214197158813477,2.1493191719055176,2.6416797637939453
5204,dt,{'LB': 1.0},cello,4,1.3940860033035278,1.4739904403686523,1.6428760290145874,1.9127476215362549,2.2739548683166504,2.824509859085083
5205,dt,{'LB': 1.0},cello,5,1.387403964996338,1.47835373878479,1.6839321851730347,1.955148458480835,2.3039939403533936,2.8197877407073975
5206,dt,{'LB': 1.0},cello,6,1.348009705543518,1.2591841220855713,1.6346774101257324,1.919004201889038,2.3156352043151855,2.8344950675964355
5207,dt,{'LB': 1.0},cello,7,1.3579933643341064,1.4415134191513062,1.6350294351577759,1.9379944801330566,2.307650089263916,2.8112311363220215
5208,dt,{'LB': 1.0},cello,8,1.3239552974700928,1.4066075086593628,1.5625841617584229,1.8486956357955933,2.248169422149658,2.7054648399353027
5209,dt,{'LB': 1.0},cello,9,1.3957890272140503,1.4739936590194702,1.6638962030410767,1.9146335124969482,2.2420852184295654,2.70908260345459
5210,dt,{'LB': 1.0},cello,10,1.4006538391113281,1.480258584022522,1.6613335609436035,1.9550127983093262,2.305830478668213,2.8950374126434326
5211,dt,{'LB': 1.0},cello,11,1.2422988414764404,1.443888783454895,1.6685997247695923,2.024596929550171,2.4683260917663574,3.0066065788269043
5212,dt,{'LB': 1.0},cello,12,1.3841526508331299,1.4662624597549438,1.645775556564331,1.897404432296753,2.2412798404693604,2.7068498134613037
5213,dt,{'LB': 1.0},cello,13,1.3755446672439575,1.441738247871399,1.5920305252075195,1.820387840270996,2.1887543201446533,2.628253936767578
5214,dt,{'LB': 1.0},cello,14,1.3808304071426392,1.465085744857788,1.6460983753204346,1.948068618774414,2.342047691345215,2.8856263160705566
5215,dt,{'LB': 1.0},cello,15,1.354968547821045,1.4385260343551636,1.6365923881530762,1.9376564025878906,2.2884676456451416,2.84005069732666
5216,dt,{'LB': 1.0},cello,16,1.3746669292449951,1.4502203464508057,1.6414263248443604,1.9438095092773438,2.3061439990997314,2.846315860748291
5217,dt,{'LB': 1.0},cello,17,1.3504273891448975,1.46065092086792,1.6817176342010498,1.9801218509674072,2.353525161743164,2.8547918796539307
5218,dt,{'LB': 1.0},cello,18,1.4186575412750244,1.4764536619186401,1.6377232074737549,1.906532645225525,2.2161917686462402,2.644979476928711
5219,dt,{'LB': 1.0},cello,19,1.3777940273284912,1.4400227069854736,1.5977803468704224,1.900785207748413,2.3128695487976074,2.8875036239624023
5220,dt,{'LB': 1.0},cello,20,1.3819884061813354,1.4500552415847778,1.6250362396240234,1.899893045425415,2.225208282470703,2.73407244682312
5221,dt,{'LB': 1.0},cello,21,1.416559100151062,1.5157525539398193,1.7285542488098145,1.9988815784454346,2.3535618782043457,2.929436683654785
5222,dt,{'LB': 1.0},cello,22,1.3619261980056763,1.4463136196136475,1.6251424551010132,1.9004738330841064,2.253720760345459,2.740180015563965
5223,dt,{'LB': 1.0},cello,23,1.3905110359191895,1.4784660339355469,1.6624813079833984,1.9366778135299683,2.2803919315338135,2.7919623851776123
5224,dt,{'LB': 1.0},cello,24,1.3725649118423462,1.447622299194336,1.618879795074463,1.9081811904907227,2.2759227752685547,2.819561719894409
5225,dt,{'LB': 1.0},cello,25,1.3380166292190552,1.4428542852401733,1.6338465213775635,1.8790267705917358,2.2274022102355957,2.7746963500976562
5226,dt,{'LB': 1.0},cello,26,1.3714652061462402,1.4437010288238525,1.6176069974899292,1.868971586227417,2.186990261077881,2.6995127201080322
5227,dt,{'LB': 1.0},cello,27,1.3852591514587402,1.4604592323303223,1.6388421058654785,1.916055679321289,2.2885689735412598,2.854177713394165
5228,dt,{'LB': 1.0},cello,28,1.3587969541549683,1.4292348623275757,1.5963555574417114,1.8443641662597656,2.1511919498443604,2.597182512283325
5229,dt,{'LB': 1.0},cello,29,1.3786540031433105,1.439084768295288,1.6052943468093872,1.8705923557281494,2.200873613357544,2.6647729873657227
5230,dt,{'LB': 1.0},cello,30,1.3942875862121582,1.4488357305526733,1.5972075462341309,1.8024499416351318,2.1472132205963135,2.587289810180664
5231,dt,{'LB': 1.0},cello,31,1.397215485572815,1.4887261390686035,1.6819748878479004,1.9396908283233643,2.2790355682373047,2.8090178966522217
5232,dt,{'LB': 1.0},cello,32,1.429073452949524,1.5105470418930054,1.7032411098480225,1.9608527421951294,2.317460775375366,2.8373801708221436
5233,dt,{'LB': 1.0},cello,33,1.393052101135254,1.4664809703826904,1.6454765796661377,1.8984485864639282,2.25985050201416,2.7811472415924072
5234,dt,{'LB': 1.0},cello,34,1.391703486442566,1.4801002740859985,1.6633710861206055,1.9249277114868164,2.2929630279541016,2.769120454788208
5235,dt,{'LB': 1.0},cello,35,1.405240774154663,1.4745668172836304,1.6632390022277832,1.9528484344482422,2.3279592990875244,2.8156983852386475
5236,dt,{'LB': 1.0},cello,36,1.411545753479004,1.49871826171875,1.6645631790161133,1.9369227886199951,2.3120179176330566,2.8388099670410156
5237,dt,{'LB': 1.0},cello,37,1.4069385528564453,1.527252197265625,1.726985216140747,1.993024230003357,2.35339617729187,2.9201600551605225
5238,dt,{'LB': 1.0},cello,38,1.3486526012420654,1.4080723524093628,1.5650352239608765,1.8676972389221191,2.2749743461608887,2.7281858921051025
5239,dt,{'LB': 1.0},cello,39,1.3623661994934082,1.45698881149292,1.6457362174987793,1.9268336296081543,2.293083429336548,2.7729289531707764
5240,dt,{'LB': 1.0},cello,40,1.3663655519485474,1.4409252405166626,1.623427391052246,1.8901870250701904,2.2306220531463623,2.6829934120178223
5241,dt,{'LB': 1.0},cello,41,1.3731666803359985,1.4643266201019287,1.6547094583511353,1.92540442943573,2.269071578979492,2.7702813148498535
5242,dt,{'LB': 1.0},cello,42,1.3988802433013916,1.474820852279663,1.6665287017822266,1.9367890357971191,2.237802505493164,2.748239517211914
5243,dt,{'LB': 1.0},cello,43,1.423640489578247,1.495894193649292,1.6889266967773438,1.9765021800994873,2.357452630996704,2.8725595474243164
5244,dt,{'LB': 1.0},cello,44,1.3319886922836304,1.437454104423523,1.6465668678283691,1.9556939601898193,2.323864221572876,2.853773832321167
5245,dt,{'LB': 1.0},cello,45,1.4019526243209839,1.478593111038208,1.6558609008789062,1.9355227947235107,2.303856611251831,2.7787046432495117
