,Method,Parameter,Signal_id,Repetition,-5,0,5,10,15,20
5400,dt,{'LB': 1.0},trumpet,0,1.0634931325912476,1.1288541555404663,1.2770516872406006,1.5454000234603882,1.9361757040023804,2.3719382286071777
5401,dt,{'LB': 1.0},trumpet,1,1.0620121955871582,1.13148832321167,1.282735824584961,1.5539193153381348,1.9181920289993286,2.393526077270508
5402,dt,{'LB': 1.0},trumpet,2,1.075103998184204,1.1472012996673584,1.3012099266052246,1.569114089012146,1.9331490993499756,2.389414072036743
5403,dt,{'LB': 1.0},trumpet,3,1.0612200498580933,1.1155508756637573,1.2481153011322021,1.4998537302017212,1.8492388725280762,2.3031787872314453
5404,dt,{'LB': 1.0},trumpet,4,1.0753695964813232,1.1439036130905151,1.2998640537261963,1.5700809955596924,1.9389333724975586,2.348728656768799
5405,dt,{'LB': 1.0},trumpet,5,1.0667906999588013,1.129141092300415,1.2683937549591064,1.513310432434082,1.872187614440918,2.3379478454589844
5406,dt,{'LB': 1.0},trumpet,6,1.0543245077133179,1.11190927028656,1.2502260208129883,1.5051575899124146,1.870891809463501,2.2783432006835938
5407,dt,{'LB': 1.0},trumpet,7,1.0603290796279907,1.1249234676361084,1.2767823934555054,1.5456454753875732,1.9303933382034302,2.3622303009033203
5408,dt,{'LB': 1.0},trumpet,8,1.0637413263320923,1.1320521831512451,1.285215139389038,1.5557913780212402,1.9084010124206543,2.343435525894165
5409,dt,{'LB': 1.0},trumpet,9,1.0615289211273193,1.114583969116211,1.2428406476974487,1.489335536956787,1.8337483406066895,2.268632411956787
5410,dt,{'LB': 1.0},trumpet,10,1.0715851783752441,1.1435916423797607,1.300085186958313,1.5654270648956299,1.9385188817977905,2.3911728858947754
5411,dt,{'LB': 1.0},trumpet,11,1.0629159212112427,1.139025092124939,1.3023535013198853,1.5935769081115723,1.9590861797332764,2.429231882095337
5412,dt,{'LB': 1.0},trumpet,12,1.0508829355239868,1.1045992374420166,1.230159044265747,1.460819959640503,1.792088270187378,2.2114291191101074
5413,dt,{'LB': 1.0},trumpet,13,1.0636030435562134,1.1160023212432861,1.2355599403381348,1.4689521789550781,1.8152496814727783,2.253624439239502
5414,dt,{'LB': 1.0},trumpet,14,1.069983959197998,1.1342698335647583,1.2819029092788696,1.5433133840560913,1.9062538146972656,2.374429225921631
5415,dt,{'LB': 1.0},trumpet,15,1.0745582580566406,1.14846670627594,1.3028452396392822,1.575814962387085,1.949460506439209,2.3840065002441406
5416,dt,{'LB': 1.0},trumpet,16,1.0652472972869873,1.1333298683166504,1.2840474843978882,1.55429208278656,1.9312646389007568,2.3691394329071045
5417,dt,{'LB': 1.0},trumpet,17,1.0643879175186157,1.1266649961471558,1.2761937379837036,1.5478215217590332,1.909416675567627,2.344050168991089
5418,dt,{'LB': 1.0},trumpet,18,1.0714846849441528,1.136667251586914,1.2859654426574707,1.554940938949585,1.9070649147033691,2.34395694732666
5419,dt,{'LB': 1.0},trumpet,19,1.0721919536590576,1.1427626609802246,1.3007761240005493,1.5724537372589111,1.9342586994171143,2.354245662689209
5420,dt,{'LB': 1.0},trumpet,20,1.060546636581421,1.1200169324874878,1.2611593008041382,1.5183343887329102,1.8733904361724854,2.2951200008392334
5421,dt,{'LB': 1.0},trumpet,21,1.0763845443725586,1.152764081954956,1.330772876739502,1.6193163394927979,2.0081734657287598,2.475804567337036
5422,dt,{'LB': 1.0},trumpet,22,1.0657899379730225,1.1315152645111084,1.2801215648651123,1.5439001321792603,1.8884634971618652,2.3463594913482666
5423,dt,{'LB': 1.0},trumpet,23,1.070904016494751,1.1375479698181152,1.2923047542572021,1.5640499591827393,1.934985876083374,2.344142436981201
5424,dt,{'LB': 1.0},trumpet,24,1.0657622814178467,1.119876503944397,1.2489055395126343,1.493567705154419,1.8425129652023315,2.28361177444458
5425,dt,{'LB': 1.0},trumpet,25,1.0608010292053223,1.123637080192566,1.2656818628311157,1.5288273096084595,1.8939824104309082,2.3423025608062744
5426,dt,{'LB': 1.0},trumpet,26,1.0626490116119385,1.1331877708435059,1.2792952060699463,1.541944980621338,1.8839359283447266,2.3342132568359375
5427,dt,{'LB': 1.0},trumpet,27,1.0624547004699707,1.1211047172546387,1.2545697689056396,1.5121710300445557,1.8864660263061523,2.345170497894287
5428,dt,{'LB': 1.0},trumpet,28,1.0539283752441406,1.1026885509490967,1.2240945100784302,1.459409475326538,1.8019828796386719,2.2351460456848145
5429,dt,{'LB': 1.0},trumpet,29,1.060294508934021,1.1094543933868408,1.2416930198669434,1.493474006652832,1.8445148468017578,2.27069091796875
5430,dt,{'LB': 1.0},trumpet,30,1.0665844678878784,1.1315172910690308,1.2751495838165283,1.5246385335922241,1.8699246644973755,2.28733229637146
5431,dt,{'LB': 1.0},trumpet,31,1.0625,1.1242856979370117,1.261960506439209,1.5096415281295776,1.8756908178329468,2.3117997646331787
